id,field,title,type,priority,status,order1,duration,scene,assets,qc,difficulty,source,source_status,final
CRN-003,크라운·브릿지,코어로 부족한 치아를 세우는 과정,치료 과정,2차 확장,기획 후보,,30.0,손상된 치관 안쪽을 코어로 보강하고 형태를 다듬기,자연치 지대치·보철 내면·시멘트·교합,코어와 최종 크라운을 동일 부품으로 그리지 않기,중간,https://www.mouthhealthy.org/all-topics-a-z/crowns,분야 참고자료 확보·개별 대본 검증 전,
CRN-004,크라운·브릿지,포스트와 코어의 역할,구조·원리,1차 제작,기획 후보,18.0,20.0,필요한 경우의 근관 내 포스트와 치관부 코어를 연결,자연치 지대치·보철 내면·시멘트·교합,모든 신경치료 치아에 포스트가 필요하다고 표현하지 않기,보통,https://www.mouthhealthy.org/all-topics-a-z/crowns,분야 참고자료 확보·개별 대본 검증 전,
CRN-005,크라운·브릿지,임시치아가 필요한 이유,구조·원리,2차 확장,기획 후보,,20.0,형성 치아를 임시치아로 덮고 접촉·잇몸 보호를 표시,자연치 지대치·보철 내면·시멘트·교합,임시와 최종 보철의 유지·강도 역할 구분,보통,https://www.mouthhealthy.org/all-topics-a-z/crowns,분야 참고자료 확보·개별 대본 검증 전,
CRN-006,크라운·브릿지,크라운 변연과 잇몸의 관계,구조·원리,2차 확장,기획 후보,,20.0,크라운 끝선 주변 단면을 확대하고 청소 경로 표시,자연치 지대치·보철 내면·시멘트·교합,모든 변연이 깊은 잇몸 아래에 있어야 한다는 표현 금지,보통,https://www.mouthhealthy.org/all-topics-a-z/crowns,분야 참고자료 확보·개별 대본 검증 전,
CRN-007,크라운·브릿지,크라운 접촉점과 음식물 끼임,구조·원리,2차 확장,기획 후보,,20.0,인접 치아 사이의 접촉과 음식물 경로 비교,자연치 지대치·보철 내면·시멘트·교합,접촉 문제와 잇몸 퇴축을 같은 원인으로 단정하지 않기,보통,https://www.mouthhealthy.org/all-topics-a-z/crowns,분야 참고자료 확보·개별 대본 검증 전,
CRN-008,크라운·브릿지,크라운 교합 조정 과정,치료 과정,2차 확장,기획 후보,,30.0,교합지 확인 후 높은 부위만 조정하고 연마,자연치 지대치·보철 내면·시멘트·교합,전체 치관이 비현실적으로 깎여 나가지 않기,중간,https://www.mouthhealthy.org/all-topics-a-z/crowns,분야 참고자료 확보·개별 대본 검증 전,
CRN-009,크라운·브릿지,브릿지가 빈자리를 잇는 구조,구조·원리,1차 제작,기획 후보,14.0,20.0,지대치 크라운과 중간 인공치가 연결된 상태로 안착,자연치 지대치·보철 내면·시멘트·교합,중간 인공치에 가짜 자연치 뿌리를 그리지 않기,보통,https://www.mouthhealthy.org/all-topics-a-z/crowns,분야 참고자료 확보·개별 대본 검증 전,
CRN-010,크라운·브릿지,임플란트·브릿지·틀니의 구조 비교,비교·선택,2차 확장,기획 후보,,20.0,같은 결손 부위를 세 치료의 지지 방식으로 비교,자연치 지대치·보철 내면·시멘트·교합,각 치료의 적용 조건·주변 치아 상태가 다름을 표시,보통,https://www.mouthhealthy.org/all-topics-a-z/crowns,분야 참고자료 확보·개별 대본 검증 전,
END-001,신경치료,신경치료 전체 과정,치료 과정,1차 제작,기획 후보,2.0,30.0,치수강 접근·근관 세정·성형·충전·상부 밀봉을 연결,치수강·근관·파일·충전재·치근단,뿌리를 뽑지 않고 근관 내부에서 진행하는 구조 유지,중간,https://www.aae.org/patients/root-canal-treatment/,분야 참고자료 확보·개별 대본 검증 전,
END-002,신경치료,치수염과 치근단 염증의 차이,비교·선택,2차 확장,기획 후보,,20.0,치아 안 치수와 치근 바깥 끝의 염증 위치를 대비,치수강·근관·파일·충전재·치근단,치수강과 치근단 병소를 같은 공간으로 그리지 않기,보통,https://www.aae.org/patients/root-canal-treatment/,분야 참고자료 확보·개별 대본 검증 전,
END-003,신경치료,신경치료 중 러버댐의 역할,구조·원리,2차 확장,기획 후보,,20.0,치아 주위를 격리하고 침과 기구의 경로를 분리,치수강·근관·파일·충전재·치근단,클램프·시트가 치료할 치아를 가리지 않기,보통,https://www.aae.org/patients/root-canal-treatment/,분야 참고자료 확보·개별 대본 검증 전,
END-004,신경치료,근관을 세척하고 성형하는 과정,치료 과정,2차 확장,기획 후보,,30.0,파일과 세척이 근관을 따라 단계적으로 진행,치수강·근관·파일·충전재·치근단,파일·세척액이 치근 밖으로 뚫고 나가지 않기,중간,https://www.aae.org/patients/root-canal-treatment/,분야 참고자료 확보·개별 대본 검증 전,
END-005,신경치료,근관을 충전하는 과정,치료 과정,2차 확장,기획 후보,,30.0,성형된 근관에 충전재가 들어가고 상부를 밀봉,치수강·근관·파일·충전재·치근단,충전재가 뼈를 가득 채우거나 치근을 관통하지 않기,중간,https://www.aae.org/patients/root-canal-treatment/,분야 참고자료 확보·개별 대본 검증 전,
END-006,신경치료,신경치료 후 치아를 덮는 이유,구조·원리,2차 확장,기획 후보,,20.0,"남은 치질과 힘의 방향, 피개 수복을 비교",치수강·근관·파일·충전재·치근단,모든 치아에 똑같은 보철이 필수라고 단정하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/,분야 참고자료 확보·개별 대본 검증 전,
END-007,신경치료,재신경치료 과정,치료 과정,1차 제작,기획 후보,19.0,30.0,기존 충전재 제거 후 재세정과 재충전을 연결,치수강·근관·파일·충전재·치근단,기존 재료와 새 재료가 불가능하게 겹치지 않기,중간,https://www.aae.org/patients/root-canal-treatment/,분야 참고자료 확보·개별 대본 검증 전,
END-008,신경치료,치근단 수술 과정,치료 과정,전문 검토 후,기획 후보,,30.0,치근 끝 접근·처치·역충전 위치를 단면 표시,치수강·근관·파일·충전재·치근단,근관치료와 수술 접근 경로를 혼동하지 않기,높음,https://www.aae.org/patients/root-canal-treatment/,분야 참고자료 확보·개별 대본 검증 전,
END-009,신경치료,치근단 병소의 치유 관찰,질환 진행,2차 확장,기획 후보,,30.0,치료 전후 병소 변화를 시간 경과 모식도로 표현,치수강·근관·파일·충전재·치근단,치료 즉시 뼈가 완벽히 재생되거나 기간을 보장하지 않기,중간,https://www.aae.org/patients/root-canal-treatment/,분야 참고자료 확보·개별 대본 검증 전,
END-010,신경치료,신경치료 중 임시 충전 관리,관리·주의,2차 확장,기획 후보,,20.0,임시 충전의 밀봉 역할과 탈락 시 연락 흐름을 표시,치수강·근관·파일·충전재·치근단,임시 충전을 영구 수복과 동일하게 표현하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/,분야 참고자료 확보·개별 대본 검증 전,
CRK-001,균열·외상,치아 미세금과 깊은 균열,질환 진행,1차 제작,기획 후보,4.0,30.0,얕은 선과 깊은 균열의 서로 다른 경로를 단면 비교,균열 치아·치근·치주인대·외상 모형,모든 미세금이 파절로 진행한다는 단일 경로 금지,중간,https://www.aae.org/patients/dental-symptoms/cracked-teeth/,분야 참고자료 확보·개별 대본 검증 전,
CRK-002,균열·외상,씹을 때 균열 부위가 움직이는 원리,구조·원리,2차 확장,기획 후보,,20.0,교두에 힘이 걸릴 때 작은 벌어짐을 확대,균열 치아·치근·치주인대·외상 모형,치아가 고무처럼 크게 휘거나 균열이 즉시 사라지지 않기,보통,https://www.aae.org/patients/dental-symptoms/cracked-teeth/,분야 참고자료 확보·개별 대본 검증 전,
CRK-003,균열·외상,교두 파절이 생긴 치아,질환 진행,2차 확장,기획 후보,,30.0,약한 교두 일부가 분리되는 과정을 표시,균열 치아·치근·치주인대·외상 모형,치관 일부 파절과 치근 파절의 범위 구분,중간,https://www.aae.org/patients/dental-symptoms/cracked-teeth/,분야 참고자료 확보·개별 대본 검증 전,
CRK-004,균열·외상,치아가 둘로 갈라진 경우,구조·원리,2차 확장,기획 후보,,20.0,분리된 치아 조각과 균열 깊이를 단면으로 확인,균열 치아·치근·치주인대·외상 모형,단순 미세금과 동일한 치료 가능성으로 표현하지 않기,보통,https://www.aae.org/patients/dental-symptoms/cracked-teeth/,분야 참고자료 확보·개별 대본 검증 전,
CRK-005,균열·외상,수직 치근파절,질환 진행,전문 검토 후,기획 후보,,30.0,치근을 따라 난 파절과 주변 조직 변화를 표시,균열 치아·치근·치주인대·외상 모형,영상만으로 확진 가능하다는 인상 배제,높음,https://www.aae.org/patients/dental-symptoms/cracked-teeth/,분야 참고자료 확보·개별 대본 검증 전,
CRK-006,균열·외상,균열 치아를 크라운으로 보호하기,치료 과정,1차 제작,기획 후보,24.0,30.0,균열 평가 후 교두를 감싸는 보철을 안착,균열 치아·치근·치주인대·외상 모형,크라운이 균열을 붙여 완전히 치유한다는 표현 금지,중간,https://www.aae.org/patients/dental-symptoms/cracked-teeth/,분야 참고자료 확보·개별 대본 검증 전,
CRK-007,균열·외상,앞니가 일부 깨졌을 때의 수복,치료 과정,2차 확장,기획 후보,,30.0,파절 범위에 따라 접착·레진으로 형태를 복원,균열 치아·치근·치주인대·외상 모형,치수 노출 유무와 조직 범위를 먼저 구분,중간,https://www.aae.org/patients/dental-symptoms/cracked-teeth/,분야 참고자료 확보·개별 대본 검증 전,
CRK-008,균열·외상,치아가 흔들리거나 위치가 바뀐 외상,치료 과정,전문 검토 후,기획 후보,,30.0,변위 확인·재위치·유연 고정의 개념 표시,균열 치아·치근·치주인대·외상 모형,모든 외상에 같은 고정 방법·기간을 적용하지 않기,높음,https://www.aae.org/patients/dental-symptoms/cracked-teeth/,분야 참고자료 확보·개별 대본 검증 전,
CRK-009,균열·외상,영구치가 빠졌을 때의 긴급 대응,관리·주의,2차 확장,기획 후보,,20.0,치관을 잡고 즉시 치과로 연결하는 행동 순서를 표시,균열 치아·치근·치주인대·외상 모형,유치와 영구치 대응을 구분하고 세부 지침 별도 검증,보통,https://www.aae.org/patients/dental-symptoms/cracked-teeth/,분야 참고자료 확보·개별 대본 검증 전,
CRK-010,균열·외상,외상 후에도 추적 검사가 필요한 이유,관리·주의,전문 검토 후,기획 후보,,20.0,처음 모습과 이후 치수·치근 상태의 관찰을 연결,균열 치아·치근·치주인대·외상 모형,겉모습이 회복됐다고 내부 회복을 확정하지 않기,높음,https://www.aae.org/patients/dental-symptoms/cracked-teeth/,분야 참고자료 확보·개별 대본 검증 전,
GUM-001,잇몸질환,치은염과 치주염의 차이,비교·선택,2차 확장,기획 후보,,20.0,잇몸 염증만 있는 상태와 지지 조직 손실을 비교,치은·치주낭·치석·치조골·치근,단순 출혈을 곧바로 골소실로 표현하지 않기,보통,https://www.perio.org/for-patients/gum-disease-information/,분야 참고자료 확보·개별 대본 검증 전,
GUM-002,잇몸질환,치주염이 진행하는 과정,질환 진행,1차 제작,기획 후보,3.0,30.0,치주낭과 부착·뼈 높이 변화를 같은 단면에서 표시,치은·치주낭·치석·치조골·치근,일률적인 속도·필연적인 치아 상실로 단정하지 않기,중간,https://www.perio.org/for-patients/gum-disease-information/,분야 참고자료 확보·개별 대본 검증 전,
GUM-003,잇몸질환,치태가 쌓이고 치석이 되는 과정,질환 진행,2차 확장,기획 후보,,30.0,치면의 치태와 광물화된 치석을 구별해 확대,치은·치주낭·치석·치조골·치근,치석을 뼈나 치아 조직과 같은 구조로 만들지 않기,중간,https://www.perio.org/for-patients/gum-disease-information/,분야 참고자료 확보·개별 대본 검증 전,
GUM-004,잇몸질환,잇몸 아래 치석의 위치,구조·원리,2차 확장,기획 후보,,20.0,잇몸을 투명화해 치근 표면 부착물을 보여주기,치은·치주낭·치석·치조골·치근,치석이 치근 내부나 뼈 한가운데 생기는 오류 확인,보통,https://www.perio.org/for-patients/gum-disease-information/,분야 참고자료 확보·개별 대본 검증 전,
GUM-005,잇몸질환,잇몸 출혈이 생기는 부위,구조·원리,2차 확장,기획 후보,,20.0,염증이 있는 잇몸 변연과 자극 위치를 확대,치은·치주낭·치석·치조골·치근,모든 출혈 원인이 치주염이라고 단정하지 않기,보통,https://www.perio.org/for-patients/gum-disease-information/,분야 참고자료 확보·개별 대본 검증 전,
GUM-006,잇몸질환,잇몸 퇴축과 치근 노출,질환 진행,2차 확장,기획 후보,,30.0,잇몸 경계가 변하며 치근이 드러나는 모습을 표시,치은·치주낭·치석·치조골·치근,잇몸 퇴축과 치조골 소실을 항상 동일시하지 않기,중간,https://www.perio.org/for-patients/gum-disease-information/,분야 참고자료 확보·개별 대본 검증 전,
GUM-007,잇몸질환,치아가 흔들리는 이유,구조·원리,2차 확장,기획 후보,,20.0,지지 조직이 줄어든 치아에 힘이 가해지는 모습,치은·치주낭·치석·치조골·치근,흔들림만으로 발치 여부를 결정하지 않기,보통,https://www.perio.org/for-patients/gum-disease-information/,분야 참고자료 확보·개별 대본 검증 전,
GUM-008,잇몸질환,치근 사이 분지부 병변,질환 진행,전문 검토 후,기획 후보,,30.0,다근치 뿌리 사이의 조직 손실을 단면 표시,치은·치주낭·치석·치조골·치근,단근치에 분지부를 그리거나 뿌리 수를 바꾸지 않기,높음,https://www.perio.org/for-patients/gum-disease-information/,분야 참고자료 확보·개별 대본 검증 전,
GUM-009,잇몸질환,치주 농양이 생긴 위치,구조·원리,2차 확장,기획 후보,,20.0,잇몸 쪽 국소 고름과 치근단 병소를 대비,치은·치주낭·치석·치조골·치근,치근단 농양과 치주 농양을 혼동하지 않기,보통,https://www.perio.org/for-patients/gum-disease-information/,분야 참고자료 확보·개별 대본 검증 전,
GUM-010,잇몸질환,흡연·당뇨와 잇몸 관리,관리·주의,2차 확장,기획 후보,,20.0,위험요인 확인과 유지관리 계획을 함께 표시,치은·치주낭·치석·치조골·치근,연관성을 개인의 확정적 예후나 책임으로 표현하지 않기,보통,https://www.perio.org/for-patients/gum-disease-information/,분야 참고자료 확보·개별 대본 검증 전,
PER-001,잇몸치료,스케일링 과정,치료 과정,1차 제작,기획 후보,8.0,30.0,기구가 치면을 따라 이동하며 치석을 제거,스케일러·치근면·판막·이식재,치아·잇몸을 통째로 깎거나 갈라지게 하지 않기,중간,https://www.perio.org/for-patients/periodontal-treatments-and-procedures/,분야 참고자료 확보·개별 대본 검증 전,
PER-002,잇몸치료,치근면 세정 치료 과정,치료 과정,1차 제작,기획 후보,17.0,30.0,잇몸 아래 치근면을 따라 기구가 접근·세정,스케일러·치근면·판막·이식재,기구가 뼈나 치근을 관통하지 않기,중간,https://www.perio.org/for-patients/periodontal-treatments-and-procedures/non-surgical-treatments/,분야 참고자료 확보·개별 대본 검증 전,
PER-003,잇몸치료,스케일링과 깊은 잇몸치료 차이,비교·선택,2차 확장,기획 후보,,20.0,잇몸 위·아래 접근 범위와 치료 목적을 비교,스케일러·치근면·판막·이식재,실제 술식 범위가 겹칠 수 있음을 무시하지 않기,보통,https://www.perio.org/for-patients/periodontal-treatments-and-procedures/,분야 참고자료 확보·개별 대본 검증 전,
PER-004,잇몸치료,잇몸 판막 수술 과정,치료 과정,2차 확장,기획 후보,,30.0,잇몸을 열어 시야 확보·세정 후 봉합,스케일러·치근면·판막·이식재,잇몸을 분리해 없애거나 뼈를 즉시 복원하지 않기,중간,https://www.perio.org/for-patients/periodontal-treatments-and-procedures/,분야 참고자료 확보·개별 대본 검증 전,
PER-005,잇몸치료,치주 재생 치료의 원리,치료 과정,전문 검토 후,기획 후보,,30.0,선택된 결손 부위에 재료·차폐막을 위치시킴,스케일러·치근면·판막·이식재,모든 형태의 골소실에서 완전 재생을 보장하지 않기,높음,https://www.perio.org/for-patients/periodontal-treatments-and-procedures/,분야 참고자료 확보·개별 대본 검증 전,
PER-006,잇몸치료,잇몸 이식으로 노출 치근 덮기,치료 과정,전문 검토 후,기획 후보,,30.0,이식 조직이 노출 치근 쪽으로 이동·고정,스케일러·치근면·판막·이식재,공여부·수여부 및 적응증을 구분,높음,https://www.perio.org/for-patients/periodontal-treatments-and-procedures/,분야 참고자료 확보·개별 대본 검증 전,
PER-007,잇몸치료,치관 연장술의 목적,치료 과정,2차 확장,기획 후보,,30.0,필요한 치아 구조를 확보하는 잇몸·뼈 조정 표시,스케일러·치근면·판막·이식재,모든 경우 뼈를 똑같이 삭제하지 않기,중간,https://www.perio.org/for-patients/periodontal-treatments-and-procedures/,분야 참고자료 확보·개별 대본 검증 전,
PER-008,잇몸치료,잇몸치료 후 재평가,검사·진단,2차 확장,기획 후보,,20.0,치주낭·출혈·위생 상태를 다시 측정,스케일러·치근면·판막·이식재,한 번 치료하면 유지관리가 끝난다는 표현 금지,보통,https://www.perio.org/for-patients/periodontal-treatments-and-procedures/,분야 참고자료 확보·개별 대본 검증 전,
